A1|Dressing for one wound
J2791|"Injection, rho(d) immune globulin (human), (rhophylac), intramuscular or intravenous, 100 iu"
J2792|"Injection, rho d immune globulin, intravenous, human, solvent detergent, 100 iu"
J2793|"Injection, rilonacept, 1 mg"
J2794|"Injection, risperidone, long acting, 0.5 mg"
J2795|"Injection, ropivacaine hydrochloride, 1 mg"
J2796|"Injection, romiplostim, 10 micrograms"
J2800|"Injection, methocarbamol, up to 10 ml"
J2805|"Injection, sincalide, 5 micrograms"
J2810|"Injection, theophylline, per 40 mg"
J2820|"Injection, sargramostim (gm-csf), 50 mcg"
J2850|"Injection, secretin, synthetic, human, 1 microgram"
J2860|"Injection, siltuximab, 10 mg"
J2910|"Injection, aurothioglucose, up to 50 mg"
J2916|"Injection, sodium ferric gluconate complex in sucrose injection, 12.5 mg"
J2920|"Injection, methylprednisolone sodium succinate, up to 40 mg"
J2930|"Injection, methylprednisolone sodium succinate, up to 125 mg"
J2940|"Injection, somatrem, 1 mg"
J2941|"Injection, somatropin, 1 mg"
J2950|"Injection, promazine hcl, up to 25 mg"
J2993|"Injection, reteplase, 18.1 mg"
J2995|"Injection, streptokinase, per 250,000 iu"
J2997|"Injection, alteplase recombinant, 1 mg"
J3000|"Injection, streptomycin, up to 1 gm"
J3010|"Injection, fentanyl citrate, 0.1 mg"
J3030|"Injection, sumatriptan succinate, 6 mg (code may be used for medicare when drug administered under the direct supervision of a physician, not for use when drug is self administered)"
J3060|"Injection, taliglucerace alfa, 10 units"
J3070|"Injection, pentazocine, 30 mg"
J3090|"Injection, tedizolid phosphate, 1 mg"
J3095|"Injection, telavancin, 10 mg"
J3101|"Injection, tenecteplase, 1 mg"
J3105|"Injection, terbutaline sulfate, up to 1 mg"
J3110|"Injection, teriparatide, 10 mcg"
J3120|"Injection, testosterone enanthate, up to 100 mg"
J3121|"Injection, testosterone enanthate, 1 mg"
J3130|"Injection, testosterone enanthate, up to 200 mg"
J3140|"Injection, testosterone suspension, up to 50 mg"
J3145|"Injection, testosterone undecanoate, 1 mg"
J3150|"Injection, testosterone propionate, up to 100 mg"
J3230|"Injection, chlorpromazine hcl, up to 50 mg"
J3240|"Injection, thyrotropin alpha, 0.9 mg, provided in 1.1 mg vial"
J3243|"Injection, tigecycline, 1 mg"
J3246|"Injection, tirofiban hcl, 0.25 mg"
J3250|"Injection, trimethobenzamide hcl, up to 200 mg"
J3260|"Injection, tobramycin sulfate, up to 80 mg"
J3262|"Injection, tocilizumab, 1 mg"
J3265|"Injection, torsemide, 10 mg/ml"
J3280|"Injection, thiethylperazine maleate, up to 10 mg"
J3285|"Injection, treprostinil, 1 mg"
J3300|"Injection, triamcinolone acetonide, preservative free, 1 mg"
J3301|"Injection, triamcinolone acetonide, not otherwise specified, 10 mg"
J3302|"Injection, triamcinolone diacetate, per 5mg"
J3303|"Injection, triamcinolone hexacetonide, per 5mg"
J3305|"Injection, trimetrexate glucuronate, per 25 mg"
J3310|"Injection, perphenazine, up to 5 mg"
J3315|"Injection, triptorelin pamoate, 3.75 mg"
J3320|"Injection, spectinomycin dihydrochloride, up to 2 gm"
J3350|"Injection, urea, up to 40 gm"
J3355|"Injection, urofollitropin, 75 iu"
J3357|"Injection, ustekinumab, 1 mg"
J3360|"Injection, diazepam, up to 5 mg"
J3364|"Injection, urokinase, 5000 iu vial"
J3365|"Injection, iv, urokinase, 250,000 i.u. vial"
J3370|"Injection, vancomycin hcl, 500 mg"
J3380|"Injection, vedolizumab, 1 mg"
J3385|"Injection, velaglucerase alfa, 100 units"
J3396|"Injection, verteporfin, 0.1 mg"
J3400|"Injection, triflupromazine hcl, up to 20 mg"
J3410|"Injection, hydroxyzine hcl, up to 25 mg"
J3411|"Injection, thiamine hcl, 100 mg"
J3415|"Injection, pyridoxine hcl, 100 mg"
J3420|"Injection, vitamin b-12 cyanocobalamin, up  to 1000 mcg"
J3430|"Injection, phytonadione (vitamin k), per 1 mg"
J3465|"Injection, voriconazole, 10 mg"
J3470|"Injection, hyaluronidase, up to 150 units"
J3471|"Injection, hyaluronidase, ovine, preservative free, per 1 usp unit (up to 999 usp units)"
J3472|"Injection, hyaluronidase, ovine, preservative free, per 1000 usp units"
J3473|"Injection, hyaluronidase, recombinant, 1 usp unit"
J3475|"Injection, magnesium sulfate, per 500 mg"
J3480|"Injection, potassium chloride, per 2 meq"
J3485|"Injection, zidovudine, 10 mg"
J3486|"Injection, ziprasidone mesylate, 10 mg"
J3487|"Injection, zoledronic acid (zometa), 1 mg"
J3488|"Injection, zoledronic acid (reclast), 1 mg"
J3489|"Injection, zoledronic acid, 1 mg"
J3490|Unclassified drugs
J3520|"Edetate disodium, per 150 mg"
J3530|Nasal vaccine inhalation
J3535|Drug administered through a metered dose inhaler
J3570|"Laetrile, amygdalin, vitamin b17"
J3590|Unclassified biologics
J7030|"Infusion, normal saline solution , 1000 cc"
J7040|"Infusion, normal saline solution, sterile (500 ml=1 unit)"
J7042|5% dextrose/normal saline (500 ml = 1 unit)
J7050|"Infusion, normal saline solution , 250 cc"
J7060|5% dextrose/water (500 ml = 1 unit)
J7070|"Infusion, d5w, 1000 cc"
J7100|"Infusion, dextran 40, 500 ml"
J7110|"Infusion, dextran 75, 500 ml"
J7120|"Ringers lactate infusion, up to 1000 cc"
J7121|"5% dextrose in lactated ringers infusion, up to 1000 cc"
J7131|"Hypertonic saline solution, 1 ml"
J7178|"Injection, human fibrinogen concentrate, 1 mg"
J7180|"Injection, factor xiii (antihemophilic factor, human), 1 i.u."
J7181|"Injection, factor xiii a-subunit, (recombinant), per iu"
J7182|"Injection, factor viii, (antihemophilic factor, recombinant), (novoeight), per iu"
J7183|"Injection, von willebrand factor complex (human), wilate, 1 i.u. vwf:rco"
J7185|"Injection, factor viii (antihemophilic factor, recombinant) (xyntha), per i.u."
J7186|"Injection, antihemophilic factor viii/von willebrand factor complex (human), per factor viii i.u."
J7187|"Injection, von willebrand factor complex (humate-p), per iu vwf:rco"
J7188|"Injection, factor viii (antihemophilic factor, recombinant), (obizur), per i.u."
J7189|"Factor viia (antihemophilic factor, recombinant), per 1 microgram"
J7190|"Factor viii (antihemophilic factor, human) per i.u."
J7191|"Factor viii (antihemophilic factor (porcine)), per i.u."
J7192|"Factor viii (antihemophilic factor, recombinant) per i.u., not otherwise specified"
J7193|"Factor ix (antihemophilic factor, purified, non-recombinant) per i.u."
J7194|"Factor ix, complex, per i.u."
J7195|"Injection, factor ix (antihemophilic factor, recombinant) per iu, not otherwise specified"
J7196|"Injection, antithrombin recombinant, 50 i.u."
J7197|"Antithrombin iii (human), per i.u."
J7198|"Anti-inhibitor, per i.u."
J7199|"Hemophilia clotting factor, not otherwise classified"
J7200|"Injection, factor ix, (antihemophilic factor, recombinant), rixubis, per iu"
J7201|"Injection, factor ix, fc fusion protein (recombinant), per iu"
J7205|"Injection, factor viii fc fusion (recombinant), per iu"
J7297|"Levonorgestrel-releasing intrauterine contraceptive system, 52mg, 3 year duration"
J7298|"Levonorgestrel-releasing intrauterine contraceptive system, 52 mg, 5 year duration"
J7300|Intrauterine copper contraceptive
J7301|"Levonorgestrel-releasing intrauterine contraceptive system, 13.5 mg"
J7302|"Levonorgestrel-releasing intrauterine contraceptive system, 52 mg"
J7303|"Contraceptive supply, hormone containing vaginal ring, each"
J7304|"Contraceptive supply, hormone containing patch, each"
J7306|"Levonorgestrel (contraceptive) implant system, including implants and supplies"
J7307|"Etonogestrel (contraceptive) implant system, including implant and supplies"
J7308|"Aminolevulinic acid hcl for topical administration, 20%, single unit dosage form (354 mg)"
J7309|"Methyl aminolevulinate (mal) for topical administration, 16.8%, 1 gram"
J7310|"Ganciclovir, 4.5 mg, long-acting implant"
J7311|"Fluocinolone acetonide, intravitreal implant"
J7312|"Injection, dexamethasone, intravitreal implant, 0.1 mg"
J7313|"Injection, fluocinolone acetonide, intravitreal implant, 0.01 mg"
J7315|"Mitomycin, ophthalmic, 0.2 mg"
J7316|"Injection, ocriplasmin, 0.125 mg"
J7321|"Hyaluronan or derivative, hyalgan or supartz, for intra-articular injection, per dose"
J7323|"Hyaluronan or derivative, euflexxa, for intra-articular injection, per dose"
J7324|"Hyaluronan or derivative, orthovisc, for intra-articular injection, per dose"
J7325|"Hyaluronan or derivative, synvisc or synvisc-one, for intra-articular injection, 1 mg"
J7326|"Hyaluronan or derivative, gel-one, for intra-articular injection, per dose"
J7327|"Hyaluronan or derivative, monovisc, for intra-articular injection, per dose"
J7328|"Hyaluronan or derivative, gel-syn, for intra-articular injection, 0.1 mg"
J7330|"Autologous cultured chondrocytes, implant"
J7335|"Capsaicin 8% patch, per 10 square centimeters"
J7336|"Capsaicin 8% patch, per square centimeter"
J7340|Carbidopa 5 mg/levodopa 20 mg enteral suspension
J7500|"Azathioprine, oral, 50 mg"
J7501|"Azathioprine, parenteral, 100 mg"
J7502|"Cyclosporine, oral, 100 mg"
J7503|"Tacrolimus, extended release, (envarsus xr), oral, 0.25 mg"
J7504|"Lymphocyte immune globulin, antithymocyte globulin, equine, parenteral, 250 mg"
J7505|"Muromonab-cd3, parenteral, 5 mg"
J7506|"Prednisone, oral, per 5 mg"
J7507|"Tacrolimus, immediate release, oral, 1 mg"
J7508|"Tacrolimus, extended release, (astagraf xl), oral, 0.1 mg"
J7509|"Methylprednisolone oral, per 4 mg"
J7510|"Prednisolone oral, per 5 mg"
J7511|"Lymphocyte immune globulin, antithymocyte globulin, rabbit, parenteral, 25 mg"
J7512|"Prednisone, immediate release or delayed release, oral, 1 mg"
J7513|"Daclizumab, parenteral, 25 mg"
J7515|"Cyclosporine, oral, 25 mg"
J7516|"Cyclosporin, parenteral, 250 mg"
J7517|"Mycophenolate mofetil, oral, 250 mg"
J7518|"Mycophenolic acid, oral, 180 mg"
J7520|"Sirolimus, oral, 1 mg"
J7525|"Tacrolimus, parenteral, 5 mg"
J7527|"Everolimus, oral, 0.25 mg"
J7599|"Immunosuppressive drug, not otherwise classified"
J7604|"Acetylcysteine, inhalation solution, compounded product, administered through dme, unit dose form, per gram"
J7605|"Arformoterol, inhalation solution, fda approved final product, non-compounded, administered through dme, unit dose form, 15 micrograms"
J7606|"Formoterol fumarate, inhalation solution, fda approved final product, non-compounded, administered through dme, unit dose form, 20 micrograms"
J7607|"Levalbuterol, inhalation solution, compounded product, administered through dme, concentrated form, 0.5 mg"
J7608|"Acetylcysteine, inhalation solution, fda-approved final product, non-compounded, administered through dme, unit dose form, per gram"
J7609|"Albuterol, inhalation solution, compounded product, administered through dme, unit dose, 1 mg"
J7610|"Albuterol, inhalation solution, compounded product, administered through dme, concentrated form, 1 mg"
J7611|"Albuterol, inhalation solution, fda-approved final product, non-compounded, administered through dme, concentrated form, 1 mg"
J7612|"Levalbuterol, inhalation solution, fda-approved final product, non-compounded, administered through dme, concentrated form, 0.5 mg"
J7613|"Albuterol, inhalation solution, fda-approved final product, non-compounded, administered through dme, unit dose, 1 mg"
J7614|"Levalbuterol, inhalation solution, fda-approved final product, non-compounded, administered through dme, unit dose, 0.5 mg"
J7615|"Levalbuterol, inhalation solution, compounded product, administered through dme, unit dose, 0.5 mg"
J7620|"Albuterol, up to 2.5 mg and ipratropium bromide, up to 0.5 mg, fda-approved final product, non-compounded, administered through dme"
J7622|"Beclomethasone, inhalation solution, compounded product, administered through dme, unit dose form, per milligram"
J7624|"Betamethasone, inhalation solution, compounded product, administered through dme, unit dose form, per milligram"
J7626|"Budesonide, inhalation solution, fda-approved final product, non-compounded, administered through dme, unit dose form, up to 0.5 mg"
J7627|"Budesonide, inhalation solution, compounded product, administered through dme, unit dose form, up to 0.5 mg"
J7628|"Bitolterol mesylate, inhalation solution, compounded product, administered through dme, concentrated form, per milligram"
J7629|"Bitolterol mesylate, inhalation solution, compounded product, administered through dme, unit dose form, per milligram"
J7631|"Cromolyn sodium, inhalation solution, fda-approved final product, non-compounded, administered through dme, unit dose form, per 10 milligrams"
J7632|"Cromolyn sodium, inhalation solution, compounded product, administered through dme, unit dose form, per 10 milligrams"
J7633|"Budesonide, inhalation solution, fda-approved final product, non-compounded, administered through dme, concentrated form, per 0.25 milligram"
J7634|"Budesonide, inhalation solution, compounded product, administered through dme, concentrated form, per 0.25 milligram"
J7635|"Atropine, inhalation solution, compounded product, administered through dme, concentrated form, per milligram"
J7636|"Atropine, inhalation solution, compounded product, administered through dme, unit dose form, per milligram"
J7637|"Dexamethasone, inhalation solution, compounded product, administered through dme, concentrated form, per milligram"
J7638|"Dexamethasone, inhalation solution, compounded product, administered through dme, unit dose form, per milligram"
J7639|"Dornase alfa, inhalation solution, fda-approved final product, non-compounded, administered through dme, unit dose form, per milligram"
J7640|"Formoterol, inhalation solution, compounded product, administered through dme, unit dose form, 12 micrograms"
J7641|"Flunisolide, inhalation solution, compounded product, administered through dme, unit dose, per milligram"
J7642|"Glycopyrrolate, inhalation solution, compounded product, administered through dme, concentrated form, per milligram"
J7643|"Glycopyrrolate, inhalation solution, compounded product, administered through dme, unit dose form, per milligram"
J7644|"Ipratropium bromide, inhalation solution, fda-approved final product, non-compounded, administered through dme, unit dose form, per milligram"
J7645|"Ipratropium bromide, inhalation solution, compounded product, administered through dme, unit dose form, per milligram"
J7647|"Isoetharine hcl, inhalation solution, compounded product, administered through dme, concentrated form, per milligram"
J7648|"Isoetharine hcl, inhalation solution, fda-approved final product, non-compounded, administered through dme, concentrated form, per milligram"
J7649|"Isoetharine hcl, inhalation solution, fda-approved final product, non-compounded, administered through dme, unit dose form, per milligram"
J7650|"Isoetharine hcl, inhalation solution, compounded product, administered through dme, unit dose form, per milligram"
J7657|"Isoproterenol hcl, inhalation solution, compounded product, administered through dme, concentrated form, per milligram"
J7658|"Isoproterenol hcl, inhalation solution, fda-approved final product, non-compounded, administered through dme, concentrated form, per milligram"
J7659|"Isoproterenol hcl, inhalation solution, fda-approved final product, non-compounded, administered through dme, unit dose form, per milligram"
J7660|"Isoproterenol hcl, inhalation solution, compounded product, administered through dme, unit dose form, per milligram"
J7665|"Mannitol, administered through an inhaler, 5 mg"
